uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|5|3,76.48902821,30.54892601,77.6849642
0|5|4,44.27860697,19.96424923,64.58631256
0|5|5,18.56060606,16.83363692,26.10048573
0|6|1,70.06802721,16.96292618,35.71002979
0|6|10,42.94670846,14.50766747,42.44686575
0|6|2,27.76119403,20.67241379,11.24137931
0|6|3,46.27329193,24.22835111,15.07152402
0|6|4,12.1875,19.800058,7.718953406
0|6|5,15.0877193,32.03812317,27.93255132
0|6|6,20.88888889,25.42270531,11.98671498
0|6|7,35.34482759,23.45586397,31.65791448
0|6|8,17.88990826,18.84057971,12.66304348
0|6|9,16.74208145,24.35630035,29.0995397
0|7|1,20.61068702,36.76765186,41.65254107
0|7|2,31.57894737,13.92473118,37.52688172
0|7|3,34.74576271,10.31029065,56.73605656
0|7|4,14.28571429,34.29102655,41.60740459
0|7|5,37.73584906,17.50408497,53.24171335
0|7|6,29.35779817,45.41096171,29.09273245
0|7|7,42.85714286,46.86483812,35.37513549
0|8|1,29.3398533,25.44772007,31.49538504
0|8|10,70,25.68807339,66.05504587
0|8|11,58.67486339,38.14515131,22.94967201
0|8|12,39.86710963,29.20977971,36.67807076
0|8|13,44.93927126,19.80618837,43.14178851
0|8|14,44.64831804,50.16325481,14.42051285
0|8|15,39.01869159,18.94867408,56.67579127
0|8|16,30.04291845,17.22916547,48.3566588
0|8|17,35.50295858,52.76038024,27.71560853
0|8|18,62.06640238,46.97179124,18.38230421
0|8|2,50.56179775,19.89247312,62.2983871
0|8|21,41.4187643,28.5736912,50.4154534
0|8|22,51.20879121,26.49454207,34.28339296
0|8|23,57.43073048,22.85115304,68.65828092
0|8|24,58.65921788,16.54577148,43.56350277
0|8|25,33.18681319,25.45924225,48.81458094
0|8|3,30.40540541,19.79111406,41.80481874
0|8|4,44.4015444,59.39522434,23.79794119
0|8|5,32.28571429,56.9361153,15.98467746
0|8|6,80.23305999,30.98017587,50.82421791
0|8|7,25.24590164,18.28973632,32.18650418
0|8|8,37.65432099,20.67348679,28.53184752
0|8|9,49.00662252,17.59615385,47.40384615
0|9|1,43.23144105,30.11111111,34.49346405
0|9|10,64.10958904,19.78588422,57.56013746
0|9|11,44.81132075,26.30514706,40.42279412
0|9|12,36.49635036,23.89709628,52.92409577
0|9|13,19.78609626,23.7815367,37.52293578
0|9|14,57.40740741,40.69088138,47.498095
0|9|15,27.65151515,37.23739496,44.22268908
0|9|16,80.99173554,20.91596928,49.20898773
0|9|17,37.38601824,32.26772031,25.96982759
0|9|18,40.34090909,23.48901099,39.74931319
0|9|19,36.39705882,13.51277755,27.97514314
0|9|2,41.36125654,30.687974,44.9711087
0|9|20,65.47144754,25.3968254,55.97643098
0|9|21,75.16778523,26.73584906,48.29716981
0|9|22,94.75224346,35.62890697,33.36646353
0|9|23,44.81792717,24.573916,37.82860222
0|9|24,55.39033457,22.70051508,67.69683591
0|9|25,78.91566265,19.52053264,33.4465347
0|9|26,43.47826087,21.2641173,42.83732911
0|9|27,44.70046083,32.91749834,47.19893546
0|9|28,45.58823529,21.06139053,51.64571006
0|9|29,65.03759398,26.77062081,62.23647139
0|9|3,19.91701245,27.30581262,31.83425185
0|9|30,46.15384615,22.85578748,37.27568447
0|9|31,71.29337539,23.9018414,35.26952777
0|9|32,53.10880829,31.87406113,38.20012876
0|9|33,40.7239819,24.47839046,42.28297317
0|9|34,100,26.83046082,36.63060751
0|9|35,25.21008403,10.20622896,58.33333333
0|9|36,27.96296296,26.50702759,25.48759327
0|9|37,28.82011605,16.80434557,6.902292342
0|9|38,26.30480167,36.13883951,26.3150098
0|9|39,13.20754717,33.1201849,51.83744222
0|9|4,17.43421053,27.42497972,41.93025142
0|9|40,41.31736527,47.00619383,25.61938269
0|9|41,31.01851852,21.875,71.484375
0|9|42,37.11340206,26.41353383,42.54135338
0|9|43,26.64233577,18.76441069,33.00895158
0|9|44,43.01886792,18.50383294,27.61225029
0|9|46,25.52845528,21.41304348,43.92553723
0|9|47,39.26380368,47.66395964,24.69935606
0|9|48,38.87399464,24.7391819,65.39239705
0|9|49,46.55647383,22.22075869,45.29768177
0|9|5,48.30508475,28.87582431,54.74990668
0|9|50,54.97382199,31.13234355,32.64192446
0|9|51,69.77911647,23.89763906,49.48143138
0|9|52,21.64296998,28.25228061,30.66298343
0|9|53,35.22267206,27.17348266,42.14039256
0|9|54,41.17647059,27.30923695,67.26907631
0|9|55,20.98138748,36.57225282,51.06215578
0|9|56,78.33333333,25.74813217,62.31771145
0|9|57,22.09106239,23.89605172,40.64428942
0|9|58,64.88764045,22.23985629,42.60765033
0|9|59,19.9669967,29.41230487,44.07943067
0|9|6,22.59036145,17.98406863,57.26102941
0|9|60,54.71698113,27.49664767,47.37177338
0|9|61,48.05194805,24.68379447,41.41304348
