uni_const_code,n_indnota_pre,n_indnota_post
1|16|29,,2
1|16|3,,2
1|16|30,,1
1|16|31,,1
1|16|32,,1
1|16|33,,1
1|16|34,,2
1|16|35,,2
1|16|36,,2
1|16|37,,2
1|16|38,,2
1|16|39,,2
1|16|4,,2
1|16|40,,2
1|16|41,1,1
1|16|42,,1
1|16|43,1,1
1|16|44,1,1
1|16|45,,1
1|16|46,3,2
1|16|47,1,1
1|16|48,2,2
1|16|49,,2
1|16|5,,2
1|16|50,1,2
1|16|51,1,2
1|16|52,1,2
1|16|53,1,1
1|16|54,,2
1|16|55,,2
1|16|56,1,1
1|16|57,,1
1|16|58,,1
1|16|59,,1
1|16|6,,1
1|16|60,,1
1|16|7,,1
1|16|8,1,1
1|16|9,,3
1|17|1,1,2
1|17|10,,2
1|17|11,4,1
1|17|12,2,1
1|17|13,3,1
1|17|14,1,2
1|17|15,1,3
1|17|16,,2
1|17|17,,1
1|17|18,1,2
1|17|19,1,2
1|17|2,2,1
1|17|20,2,4
1|17|21,,1
1|17|22,2,3
1|17|23,,1
1|17|24,2,2
1|17|25,1,2
1|17|26,3,2
1|17|27,1,1
1|17|28,1,2
1|17|29,1,2
1|17|3,1,2
1|17|30,,1
1|17|31,1,1
1|17|32,1,1
1|17|33,2,2
1|17|34,8,2
1|17|35,2,2
1|17|36,1,2
1|17|37,1,1
1|17|38,,2
1|17|39,,5
1|17|4,1,1
1|17|40,1,1
1|17|41,2,3
1|17|42,4,7
1|17|43,1,
1|17|44,1,2
1|17|45,6,5
1|17|46,5,2
1|17|47,5,4
1|17|48,1,3
1|17|49,3,5
1|17|5,1,2
1|17|50,6,6
1|17|51,4,5
1|17|52,3,4
1|17|53,1,2
1|17|54,2,3
1|17|55,3,3
1|17|56,5,2
1|17|57,3,3
1|17|58,5,2
1|17|59,1,3
1|17|6,2,2
1|17|60,5,3
1|17|7,2,1
1|17|8,2,3
1|17|9,1,2
1|18|1,4,10
1|18|10,5,8
1|18|100,1,3
1|18|101,2,3
1|18|102,,9
1|18|103,,5
1|18|104,1,2
1|18|105,1,4
1|18|106,2,2
1|18|107,1,1
1|18|108,,4
1|18|109,4,3
1|18|11,2,2
1|18|110,6,7
1|18|111,,10
1|18|112,3,3
1|18|113,,4
1|18|114,1,8
1|18|115,1,4
1|18|116,2,5
