uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|27|12,74.45783133,20.93023256,89.53488372,53.52759877,-53.52759877,2.265,0,27,2,1.5,-0.5,-1.5
0|27|13,23.51973684,23.89232127,31.9404867,-0.37258443,0.37258443,0.83,0,27,12,6,-6,-7
0|27|14,15.08264463,27.81463819,10.33353439,-12.73199356,12.73199356,0.44,0,27,18,13.5,-4.5,-5.5
0|27|15,37.01492537,28.4219457,7.147389913,8.59297967,-8.59297967,0.335,0,27,4,15.5,11.5,10.5
0|27|16,20.46511628,18.11432122,18.15781299,2.35079506,-2.35079506,0.425,0,27,11,11,0,-1
0|27|17,24.89878543,24.88846469,25.22116171,0.01032074,-0.01032074,0.935,0,27,7,6,-1,-2
0|27|18,33.00589391,15.70318958,21.74022856,17.30270433,-17.30270433,0.84,0,27,6,12,6,5
0|27|19,75.5033557,53.74095589,8.504713337,21.76239981,-21.76239981,0.53,0,27,13,14,1,0
0|27|2,42.76527331,20.67353067,9.148434148,22.09174264,-22.09174264,0.24,0,27,7,13,6,5
0|27|20,42.93059126,33.30196324,51.74626827,9.62862802,-9.62862802,0.975,0,27,4,3,-1,-2
0|27|21,47.65625,50.57873161,22.6419701,-2.92248161,2.92248161,0.785,0,27,5,9,4,3
0|27|22,71.83462532,22.92333195,42.44923332,48.91129337,-48.91129337,2.325,0,27,2,5,3,2
0|27|23,81.40672783,33.55553484,37.07424327,47.85119299,-47.85119299,1.345,0,27,6,6,0,-1
0|27|24,18.32797428,10.79922979,46.88525479,7.52874449,-7.52874449,1.285,0,27,10,12,2,1
0|27|25,30.06993007,7.767403668,58.7155196,22.3025264,-22.3025264,1.5,0,27,19,10,-9,-10
0|27|26,24.65116279,10.72270773,62.69246775,13.92845506,-13.92845506,1.07,0,27,13,8,-5,-6
0|27|27,16.16766467,8.701173586,72.29155719,7.466491084,-7.466491084,1.585,0,27,11,7,-4,-5
0|27|28,23.87387387,11.48373469,44.49007182,12.39013918,-12.39013918,1.1,0,27,9,12.5,3.5,2.5
0|27|29,19.23076923,7.782172193,54.75205354,11.44859704,-11.44859704,1,0,27,10,10,0,-1
0|27|3,51.22377622,22.54171089,22.52692288,28.68206533,-28.68206533,0.64,0,27,5,8.5,3.5,2.5
0|27|30,18.51851852,8.430714023,58.89691449,10.0878045,-10.0878045,1.495,0,27,10,9.5,-0.5,-1.5
